partido,province,ayunt,cedulas,ciudades,villas,lugares,aldeas,grupos
Cervera de Pisuerga,Palencia,50,6725,0,15,153,11,25
Cervera de Río Alhama,Logroño,8,3224,0,6,2,4,122
Chantada,Lugo,7,9511,0,2,5,1198,13
Chelva,Valencia,19,6671,0,11,8,28,1
Chiclana,Cádiz,3,6077,0,3,0,1,24
Chinchilla,Albacete,12,6135,1,10,2,33,0
Chinchón,Madrid,17,9762,0,16,1,0,8
Chiva,Valencia,10,5461,0,5,5,0,0
Cieza,Murcia,9,7223,0,9,0,2,1
Cifuentes,Guadalajara,46,4673,0,35,16,0,392
Ciudad Real,Ciudad Real,8,6393,1,7,0,3,1
Ciudad-Rodrigo,Salamanca,63,10495,1,22,49,0,3
Cocentaina,Alicante,22,5950,0,11,13,6,0
Cogolludo,Guadalajara,43,4599,0,32,23,0,15
Colmenar,Málaga,10,7206,0,7,3,0,9
Colmenar Viejo,Madrid,30,5963,0,32,6,0,9
Corcubión,Coruña,8,6908,0,6,3,400,0
Coria,Cáceres,17,5111,1,1,15,0,7
Coruña,Coruña,7,13524,1,0,6,561,1
Coín,Málaga,5,6307,0,5,0,0,26
Cuenca,Cuenca,63,9373,1,21,42,18,9
Cuéllar,Segovia,52,6962,0,6,52,0,19
Cáceres,Cáceres,9,8649,0,4,5,0,2
Cádiz,Cádiz,1,17151,1,0,0,0,0
Córdoba,Córdoba,2,11894,1,1,0,1,1
Daimiel,Ciudad Real,4,5055,0,4,0,1,0
Daroca,Zaragoza,48,7956,1,8,40,0,50
Dolores,Alicante,17,7615,0,9,8,0,40
Don Benito,Badajoz,9,5797,1,6,2,0,3
Durango,Vizcaya,29,7209,0,5,23,102,4
Dénia,Alicante,19,8021,1,5,14,1,15
Ejea de los Caballeros,Zaragoza,21,4684,0,6,16,5,7
Elche,Alicante,3,6914,0,2,1,1,0
Enguera,Valencia,12,5807,0,7,5,0,0
Entrambas-Aguas,Santander,19,6109,0,6,63,6,1
Escalona,Toledo,18,4814,0,18,2,0,2
Estella,Navarra,71,14229,2,36,109,0,59
Estepa,Sevilla,10,6155,0,9,1,3,4
Estepona,Málaga,5,4036,0,5,0,0,6
Falset,Tarragona,39,8804,0,8,33,12,51
Ferrol,Coruña,8,12037,1,2,6,879,0
Figueres,Girona,63,14454,0,14,59,8,8
Fonsagrada,Lugo,4,5870,0,3,1,582,3
Fraga,Huesca,17,5949,1,4,14,3,297
Frechilla,Palencia,32,6651,0,34,1,0,25
Frenegal de la Sierra,Badajoz,8,6652,0,8,0,0,1
Fuente Ovejuna,Córdoba,9,4205,0,9,0,19,2
Fuente de Cantos,Badajoz,10,6556,0,10,0,2,3
Fuentesaúco,Zamora,23,4979,0,19,5,0,19
Gandesa,Tarragona,18,6848,1,14,3,1,26
Gandia,Valencia,29,8338,1,3,25,0,2
Garrovillas,Cáceres,12,5093,0,5,7,0,5
Gaucín,Málaga,9,5292,0,7,2,0,13
Getafe,Madrid,20,5625,0,19,5,0,1
Gijón,Oviedo,2,5909,0,2,177,0,0
Ginzo de Limia,Orense,11,7255,0,2,177,45,26
Girona,Girona,54,13830,1,8,55,5,1
Granada,Granada,29,24050,1,4,24,0,3
Granadilla,Cáceres,31,6446,0,4,26,0,4
Grandas de Salime,Oviedo,7,3214,0,7,138,0,10
Granollers,Barcelona,31,7740,0,6,19,1,1
Grazalema,Cádiz,5,4931,0,5,0,1,2
Guadalajara,Guadalajara,29,5150,1,28,0,0,15
Guadix,Granada,33,10065,1,21,11,2,5
Guernica,Vizcaya,33,8502,0,4,31,121,3
Gérgal,Almería,17,8013,0,11,5,3,5
Haro,Logroño,26,6833,0,20,7,3,36
Hellín,Albacete,5,5296,0,5,0,15,1
Herrera del Duque,Badajoz,12,4674,0,11,1,1,6
Hinojosa del Duque,Córdoba,6,5036,0,6,0,0,1
Hoyos,Cáceres,17,5434,0,15,3,0,3
Huelma,Jaén,9,4505,0,9,0,1,1
Huelva,Huelva,8,6845,0,8,0,0,6
Huesca,Huesca,73,9405,1,8,95,2,261
Huete,Cuenca,30,5885,1,24,5,3,21
Huércal-Overa,Almería,5,7306,0,5,1,3,3
Huéscar,Granada,6,5443,1,5,0,3,6
Híjar,Teruel,13,5735,0,7,6,0,16
Ibiza,Baleares,6,4687,1,2,1,0,2
Igualada,Barcelona,38,9681,0,9,35,9,8
Illescas,Toledo,27,6204,0,26,1,0,2
Inca,Baleares,18,13380,1,16,5,5,0
Infiesto,Oviedo,4,7086,0,3,188,0,37
Iznalloz,Granada,16,4975,0,12,9,1,0
Jaca,Huesca,80,6871,1,10,157,2,43
Jarandilla,Cáceres,18,4937,0,15,3,0,5
Jaén,Jaén,5,7962,1,4,0,1,0
Jijona,Alicante,8,5339,1,5,2,0,0
Játiva,Valencia,24,7229,1,2,22,1,1
Jérez,Cádiz,1,12069,1,0,0,0,8
Jérez de los Caballeros,Badajoz,9,6916,1,6,2,0,0
La Bañeza,León,33,10409,0,27,89,6,56
La Bisbal,Girona,37,10777,0,11,37,5,5
La Carolina,Jaén,10,5985,2,8,0,19,5
La Cañiza,Pontevedra,4,7088,0,1,283,165,2
La Rambla,Córdoba,7,6252,0,7,0,0,0
La Roda,Albacete,10,8142,0,9,1,6,0
La Vecilla,León,14,5215,0,6,138,0,5
La-Palma,Huelva,8,4525,0,8,0,0,17
Laguardia,Álava,31,5228,0,34,16,1,6
Lalín,Pontevedra,6,11207,0,0,504,311,16
Laredo,Santander,8,3166,0,5,14,12,0
Laviana,Oviedo,7,8860,0,2,259,0,116
Ledesma,Salamanca,52,6105,0,13,73,0,1
Lena,Oviedo,4,6601,0,3,202,0,43
Lerma,Burgos,53,7146,0,42,27,0,15
León,León,24,9711,1,7,135,31,36
Lillo,Toledo,7,5357,0,7,0,0,5
Liria,Valencia,9,5955,0,7,2,0,5
Llanes,Oviedo,4,6084,0,1,128,0,316
Llerena,Badajoz,18,8254,1,17,0,2,4
Logrosan,Cáceres,15,5468,0,9,6,5,1
Logroño,Logroño,28,9024,1,25,4,13,126
Loja,Granada,6,6744,1,5,2,1,1
Lora del Río,Sevilla,8,4964,0,8,0,0,25
Lorca,Murcia,2,12595,1,1,1,6,5
Luarca,Oviedo,2,6828,0,2,251,0,0
Lucena,Castellón,24,7963,0,12,11,3,57
Lucena (Córdoba),Córdoba,2,5401,1,1,0,2,0
Lugo,Lugo,8,12845,1,3,4,1605,5
Lérida,Lérida,65,17717,1,8,59,1,19
Madrid,Madrid,16,68994,0,1,0,0,0
Madridejos,Toledo,5,5373,0,5,0,0,5
Mahón,Baleares,5,8095,2,4,3,2,2
Manacor,Baleares,12,12165,0,12,4,2,1
Mancha Real,Jaén,9,5636,0,9,0,0,0
Manresa,Barcelona,33,10597,1,6,22,0,0
Manzanares,Ciudad Real,6,5784,0,6,0,0,0
Marbella,Málaga,7,4835,1,6,0,0,11
Marchena,Sevilla,3,6621,0,3,0,0,5
Marquina,Vizcaya,14,3347,0,4,11,44,0
Martos,Jaén,10,10297,0,10,0,0,0
Mataró,Barcelona,17,8791,1,0,16,0,4
Medina Sidonia,Cádiz,3,6104,1,2,0,1,41
Medina del Campo,Valladolid,21,5269,0,13,8,6,14
Medina del Rioseco,Valladolid,31,6928,1,30,0,0,46
