country,province,year,age,region,m,f,t
Belgium,Anvers,1856,0,,6555,6462,13017
Belgium,Anvers,1856,1,,5959,5696,11655
Belgium,Anvers,1856,2,,2634,2493,5127
Belgium,Anvers,1856,3,,4197,4032,8229
Belgium,Anvers,1856,4,,5166,5066,10232
Belgium,Anvers,1856,5,,4748,4616,9364
Belgium,Anvers,1856,6,,4638,4426,9064
Belgium,Anvers,1856,7,,4467,4353,8820
Belgium,Anvers,1856,8,,4275,4130,8405
Belgium,Anvers,1856,9,,4286,3991,8277
Belgium,Anvers,1866,0,,6888,6632,13520
Belgium,Anvers,1866,1,,6205,6178,12383
Belgium,Anvers,1866,2,,5425,5452,10877
Belgium,Anvers,1866,3,,5673,5597,11270
Belgium,Anvers,1866,4,,5106,4890,9996
Belgium,Anvers,1866,5,,5029,4942,9971
Belgium,Anvers,1866,6,,4752,4691,9443
Belgium,Anvers,1866,7,,4884,4783,9667
Belgium,Anvers,1866,8,,4686,4814,9500
Belgium,Anvers,1866,9,,4688,4737,9425
Belgium,Anvers,1880,0,,9205,9022,18227
Belgium,Anvers,1880,1,,8313,8393,16706
Belgium,Anvers,1880,2,,7758,7668,15426
Belgium,Anvers,1880,3,,7778,7661,15439
Belgium,Anvers,1880,4,,7780,7610,15390
Belgium,Anvers,1880,5,,7418,7219,14637
Belgium,Anvers,1880,6,,7107,6964,14071
Belgium,Anvers,1880,7,,7084,7035,14119
Belgium,Anvers,1880,8,,6716,6622,13338
Belgium,Anvers,1880,9,,5981,5661,11642
Belgium,Brabant,1856,0,,11370,11351,22721
Belgium,Brabant,1856,1,,7653,7766,15419
Belgium,Brabant,1856,2,,7117,7125,14242
Belgium,Brabant,1856,3,,8206,8105,16311
Belgium,Brabant,1856,4,,8246,8149,16395
Belgium,Brabant,1856,5,,8171,7968,16139
Belgium,Brabant,1856,6,,8217,7962,16179
Belgium,Brabant,1856,7,,8068,8063,16131
Belgium,Brabant,1856,8,,7677,7223,14900
Belgium,Brabant,1856,9,,7012,7030,14042
Belgium,Brabant,1866,0,,12114,12562,24676
Belgium,Brabant,1866,1,,10716,10511,21227
Belgium,Brabant,1866,2,,9818,9613,19431
Belgium,Brabant,1866,3,,9370,9431,18801
Belgium,Brabant,1866,4,,8769,8831,17600
Belgium,Brabant,1866,5,,8954,8709,17663
Belgium,Brabant,1866,6,,8561,8672,17233
Belgium,Brabant,1866,7,,8821,8697,17518
Belgium,Brabant,1866,8,,8427,8610,17037
Belgium,Brabant,1866,9,,8362,8221,16583
Belgium,Brabant,1880,0,,13536,13475,27011
Belgium,Brabant,1880,1,,12198,12472,24670
Belgium,Brabant,1880,2,,13247,12124,25371
Belgium,Brabant,1880,3,,12925,11569,24494
Belgium,Brabant,1880,4,,11626,13252,24878
Belgium,Brabant,1880,5,,12133,11550,23683
Belgium,Brabant,1880,6,,11451,11302,22753
Belgium,Brabant,1880,7,,11134,11089,22223
Belgium,Brabant,1880,8,,11265,11119,22384
Belgium,Brabant,1880,9,,10085,9657,19742
Belgium,Flandre occidentale,1856,0,,9275,9424,18699
Belgium,Flandre occidentale,1856,1,,5032,5246,10278
Belgium,Flandre occidentale,1856,2,,4497,4941,9438
Belgium,Flandre occidentale,1856,3,,5610,5845,11455
Belgium,Flandre occidentale,1856,4,,5545,6122,11667
Belgium,Flandre occidentale,1856,5,,5377,5792,11169
Belgium,Flandre occidentale,1856,6,,5689,5890,11579
Belgium,Flandre occidentale,1856,7,,5374,5767,11141
Belgium,Flandre occidentale,1856,8,,5148,5340,10488
Belgium,Flandre occidentale,1856,9,,4889,5183,10072
Belgium,Flandre occidentale,1866,0,,8925,8880,17805
Belgium,Flandre occidentale,1866,1,,7591,7526,15117
Belgium,Flandre occidentale,1866,2,,7217,7201,14418
Belgium,Flandre occidentale,1866,3,,7122,7144,14266
Belgium,Flandre occidentale,1866,4,,6778,6719,13497
Belgium,Flandre occidentale,1866,5,,6444,6331,12775
Belgium,Flandre occidentale,1866,6,,6435,6491,12926
Belgium,Flandre occidentale,1866,7,,6357,6639,12996
Belgium,Flandre occidentale,1866,8,,6407,6390,12797
Belgium,Flandre occidentale,1866,9,,5982,6052,12034
Belgium,Flandre occidentale,1880,0,,9281,9193,18474
Belgium,Flandre occidentale,1880,1,,8192,8255,16447
Belgium,Flandre occidentale,1880,2,,8124,7938,16062
Belgium,Flandre occidentale,1880,3,,7874,7937,15811
Belgium,Flandre occidentale,1880,4,,8048,7974,16022
Belgium,Flandre occidentale,1880,5,,7745,7942,15687
Belgium,Flandre occidentale,1880,6,,7821,7695,15516
Belgium,Flandre occidentale,1880,7,,7912,7793,15705
Belgium,Flandre occidentale,1880,8,,7611,7758,15369
Belgium,Flandre occidentale,1880,9,,7033,7191,14224
Belgium,Flandre orientale,1856,0,,11388,11488,22876
Belgium,Flandre orientale,1856,1,,6385,6347,12732
Belgium,Flandre orientale,1856,2,,5431,5382,10813
Belgium,Flandre orientale,1856,3,,6967,6985,13952
Belgium,Flandre orientale,1856,4,,7084,6968,14052
Belgium,Flandre orientale,1856,5,,6953,6816,13769
Belgium,Flandre orientale,1856,6,,7197,7030,14227
Belgium,Flandre orientale,1856,7,,7166,6945,14111
Belgium,Flandre orientale,1856,8,,6443,6411,12854
Belgium,Flandre orientale,1856,9,,6511,6200,12711
Belgium,Flandre orientale,1866,0,,10605,10999,21604
Belgium,Flandre orientale,1866,1,,9287,9182,18469
Belgium,Flandre orientale,1866,2,,8899,8795,17694
Belgium,Flandre orientale,1866,3,,8809,8841,17650
Belgium,Flandre orientale,1866,4,,8667,8455,17122
Belgium,Flandre orientale,1866,5,,8242,8188,16430
Belgium,Flandre orientale,1866,6,,8344,8369,16713
Belgium,Flandre orientale,1866,7,,8391,8520,16911
Belgium,Flandre orientale,1866,8,,8111,8053,16164
Belgium,Flandre orientale,1866,9,,7766,7790,15556
Belgium,Flandre orientale,1880,0,,11656,11521,23177
Belgium,Flandre orientale,1880,1,,10855,10642,21497
Belgium,Flandre orientale,1880,2,,10234,10127,20361
Belgium,Flandre orientale,1880,3,,10599,10362,20961
Belgium,Flandre orientale,1880,4,,10151,10223,20374
Belgium,Flandre orientale,1880,5,,9756,9912,19668
Belgium,Flandre orientale,1880,6,,9950,9599,19549
Belgium,Flandre orientale,1880,7,,9727,9716,19443
Belgium,Flandre orientale,1880,8,,9765,9604,19369
Belgium,Flandre orientale,1880,9,,8772,8848,17620
Belgium,Hainaut,1856,0,,11689,11882,23571
Belgium,Hainaut,1856,1,,7556,7485,15041
Belgium,Hainaut,1856,2,,7239,7082,14321
Belgium,Hainaut,1856,3,,8509,8239,16748
Belgium,Hainaut,1856,4,,8577,8415,16992
Belgium,Hainaut,1856,5,,8357,8179,16536
Belgium,Hainaut,1856,6,,8396,8277,16673
Belgium,Hainaut,1856,7,,8416,8218,16634
Belgium,Hainaut,1856,8,,8063,7829,15892
Belgium,Hainaut,1856,9,,7428,7274,14702
Belgium,Hainaut,1866,0,,11676,11736,23412
Belgium,Hainaut,1866,1,,10804,11085,21889
Belgium,Hainaut,1866,2,,10305,10186,20491
Belgium,Hainaut,1866,3,,10064,9890,19954
Belgium,Hainaut,1866,4,,9333,9414,18747
Belgium,Hainaut,1866,5,,9660,9215,18875
Belgium,Hainaut,1866,6,,9585,9431,19016
Belgium,Hainaut,1866,7,,9704,9522,19226
Belgium,Hainaut,1866,8,,9164,9115,18279
Belgium,Hainaut,1866,9,,9029,8932,17961
Belgium,Hainaut,1880,0,,12316,11973,24289
Belgium,Hainaut,1880,1,,11163,10913,22076
Belgium,Hainaut,1880,2,,11835,10996,22831
Belgium,Hainaut,1880,3,,11364,11414,22778
Belgium,Hainaut,1880,4,,11507,11598,23105
Belgium,Hainaut,1880,5,,11436,11359,22795
Belgium,Hainaut,1880,6,,11376,11481,22857
Belgium,Hainaut,1880,7,,11246,11228,22474
Belgium,Hainaut,1880,8,,10842,10779,21621
Belgium,Hainaut,1880,9,,9714,9437,19151
Belgium,Limbourg,1856,0,,2614,2634,5248
Belgium,Limbourg,1856,1,,1964,1853,3817
Belgium,Limbourg,1856,2,,1749,1704,3453
Belgium,Limbourg,1856,3,,2020,1933,3953
Belgium,Limbourg,1856,4,,2198,1968,4166
Belgium,Limbourg,1856,5,,2179,1956,4135
Belgium,Limbourg,1856,6,,2154,1981,4135
Belgium,Limbourg,1856,7,,2101,2080,4181
Belgium,Limbourg,1856,8,,1885,1826,3711
Belgium,Limbourg,1856,9,,1793,1701,3494
Belgium,Limbourg,1866,0,,2608,2597,5205
Belgium,Limbourg,1866,1,,2249,2265,4514
Belgium,Limbourg,1866,2,,2258,2151,4409
Belgium,Limbourg,1866,3,,2178,2163,4341
Belgium,Limbourg,1866,4,,2051,2039,4090
Belgium,Limbourg,1866,5,,2078,2116,4194
Belgium,Limbourg,1866,6,,2105,1980,4085
Belgium,Limbourg,1866,7,,2036,2003,4039
Belgium,Limbourg,1866,8,,1945,1971,3916
Belgium,Limbourg,1866,9,,2018,1920,3938
Belgium,Limbourg,1880,0,,2947,2938,5885
Belgium,Limbourg,1880,1,,2666,2545,5211
Belgium,Limbourg,1880,2,,2538,2500,5038
Belgium,Limbourg,1880,3,,2743,2567,5310
Belgium,Limbourg,1880,4,,2556,2457,5013
Belgium,Limbourg,1880,5,,2596,2382,4978
Belgium,Limbourg,1880,6,,2491,2450,4941
Belgium,Limbourg,1880,7,,2430,2305,4735
Belgium,Limbourg,1880,8,,2374,2314,4688
Belgium,Limbourg,1880,9,,2282,2244,4526
Belgium,Liége,1856,0,,7803,7669,15472
Belgium,Liége,1856,1,,5902,5745,11647
Belgium,Liége,1856,2,,4689,4506,9195
Belgium,Liége,1856,3,,5379,5463,10842
Belgium,Liége,1856,4,,5347,5559,10906
Belgium,Liége,1856,5,,5141,5296,10437
Belgium,Liége,1856,6,,5165,5335,10500
Belgium,Liége,1856,7,,5098,5481,10579
Belgium,Liége,1856,8,,5216,5066,10282
Belgium,Liége,1856,9,,5075,5158,10233
Belgium,Liége,1866,0,,7608,7397,15005
Belgium,Liége,1866,1,,7108,6946,14054
Belgium,Liége,1866,2,,6428,6273,12701
Belgium,Liége,1866,3,,6452,6359,12811
Belgium,Liége,1866,4,,6089,6110,12199
Belgium,Liége,1866,5,,5988,5938,11926
Belgium,Liége,1866,6,,5902,5873,11775
Belgium,Liége,1866,7,,6034,5848,11882
Belgium,Liége,1866,8,,5745,5603,11348
Belgium,Liége,1866,9,,5511,5567,11078
Belgium,Liége,1880,0,,9009,8812,17821
Belgium,Liége,1880,1,,8286,8011,16297
Belgium,Liége,1880,2,,8285,8035,16320
Belgium,Liége,1880,3,,8176,8035,16211
Belgium,Liége,1880,4,,7954,8043,15997
Belgium,Liége,1880,5,,7952,7640,15592
Belgium,Liége,1880,6,,7861,7756,15617
Belgium,Liége,1880,7,,7464,7360,14824
Belgium,Liége,1880,8,,7485,7438,14923
Belgium,Liége,1880,9,,6332,6543,12875
Belgium,Luxembourg,1856,0,,2857,2811,5668
Belgium,Luxembourg,1856,1,,2052,1902,3954
Belgium,Luxembourg,1856,2,,1795,1747,3542
Belgium,Luxembourg,1856,3,,2186,2076,4262
Belgium,Luxembourg,1856,4,,2160,2071,4231
Belgium,Luxembourg,1856,5,,2210,2061,4271
Belgium,Luxembourg,1856,6,,2203,2200,4403
Belgium,Luxembourg,1856,7,,2199,2063,4262
Belgium,Luxembourg,1856,8,,2136,2043,4179
Belgium,Luxembourg,1856,9,,1998,1962,3960
Belgium,Luxembourg,1866,0,,2389,2344,4733
Belgium,Luxembourg,1866,1,,2376,2387,4763
Belgium,Luxembourg,1866,2,,2219,2206,4425
Belgium,Luxembourg,1866,3,,2365,2199,4564
Belgium,Luxembourg,1866,4,,2162,2184,4346
Belgium,Luxembourg,1866,5,,2148,2066,4214
Belgium,Luxembourg,1866,6,,2232,2222,4454
Belgium,Luxembourg,1866,7,,2340,2252,4592
Belgium,Luxembourg,1866,8,,2169,2061,4230
Belgium,Luxembourg,1866,9,,2108,2059,4167
Belgium,Luxembourg,1880,0,,2724,2614,5338
Belgium,Luxembourg,1880,1,,2515,2457,4972
Belgium,Luxembourg,1880,2,,2376,2520,4896
Belgium,Luxembourg,1880,3,,2429,2496,4925
Belgium,Luxembourg,1880,4,,2511,2296,4807
Belgium,Luxembourg,1880,5,,2337,2304,4641
Belgium,Luxembourg,1880,6,,2318,2357,4675
Belgium,Luxembourg,1880,7,,2202,2277,4479
Belgium,Luxembourg,1880,8,,2203,2170,4373
Belgium,Luxembourg,1880,9,,2059,1942,4001
Belgium,Namur,1856,0,,3954,4095,8049
Belgium,Namur,1856,1,,3288,3194,6482
Belgium,Namur,1856,2,,2770,2613,5383
Belgium,Namur,1856,3,,3120,3008,6128
Belgium,Namur,1856,4,,3054,3032,6086
Belgium,Namur,1856,5,,2975,2889,5864
Belgium,Namur,1856,6,,3015,3018,6033
Belgium,Namur,1856,7,,2949,2882,5831
Belgium,Namur,1856,8,,2901,2810,5711
Belgium,Namur,1856,9,,2897,2694,5591
Belgium,Namur,1866,0,,4098,3943,8041
Belgium,Namur,1866,1,,3762,3820,7582
Belgium,Namur,1866,2,,3514,3510,7024
Belgium,Namur,1866,3,,3595,3492,7087
Belgium,Namur,1866,4,,3361,3351,6712
Belgium,Namur,1866,5,,3241,3267,6508
Belgium,Namur,1866,6,,3434,3249,6683
Belgium,Namur,1866,7,,3519,3398,6917
Belgium,Namur,1866,8,,3145,3163,6308
Belgium,Namur,1866,9,,3051,3020,6071
Belgium,Namur,1880,0,,3847,3848,7695
Belgium,Namur,1880,1,,3652,3613,7265
Belgium,Namur,1880,2,,3536,3575,7111
Belgium,Namur,1880,3,,3737,3642,7379
Belgium,Namur,1880,4,,3625,3618,7243
Belgium,Namur,1880,5,,3569,3473,7042
Belgium,Namur,1880,6,,3658,3481,7139
Belgium,Namur,1880,7,,3452,3334,6786
Belgium,Namur,1880,8,,3409,3418,6827
Belgium,Namur,1880,9,,3057,2885,5942
Bulgaria,Berkovitza,1881,0,,702,668,1370
Bulgaria,Berkovitza,1881,1,,939,915,1854
Bulgaria,Berkovitza,1881,2,,995,906,1901
Bulgaria,Berkovitza,1881,3,,988,979,1967
Bulgaria,Berkovitza,1881,4,,800,870,1670
Bulgaria,Berkovitza,1881,5,,834,787,1621
Bulgaria,Berkovitza,1881,6,,909,809,1718
Bulgaria,Berkovitza,1881,7,,734,755,1489
Bulgaria,Berkovitza,1881,8,,934,932,1866
Bulgaria,Berkovitza,1881,9,,535,499,1034
Bulgaria,Bourgas,1900,0,,4291,4073,8364
Bulgaria,Bourgas,1900,1,,4388,4247,8635
Bulgaria,Bourgas,1900,2,,4207,4158,8365
Bulgaria,Bourgas,1900,3,,4365,4420,8785
Bulgaria,Bourgas,1900,4,,4501,4410,8911
Bulgaria,Bourgas,1900,5,,4530,4343,8873
Bulgaria,Bourgas,1900,6,,4500,4467,8967
Bulgaria,Bourgas,1900,7,,3885,3937,7822
Bulgaria,Bourgas,1900,8,,4370,4458,8828
Bulgaria,Bourgas,1900,9,,2968,2998,5966
Bulgaria,Choumen,1900,0,,3349,3085,6434
Bulgaria,Choumen,1900,1,,4415,4169,8584
Bulgaria,Choumen,1900,2,,4043,4011,8054
Bulgaria,Choumen,1900,3,,3806,3835,7641
Bulgaria,Choumen,1900,4,,3877,3744,7621
Bulgaria,Choumen,1900,5,,4039,3962,8001
Bulgaria,Choumen,1900,6,,3739,3842,7581
Bulgaria,Choumen,1900,7,,3191,3200,6391
Bulgaria,Choumen,1900,8,,4213,4305,8518
Bulgaria,Choumen,1900,9,,2525,2396,4921
Bulgaria,Eski-Dzumaja,1881,0,,1019,872,1891
Bulgaria,Eski-Dzumaja,1881,1,,1561,1605,3166
Bulgaria,Eski-Dzumaja,1881,2,,1036,976,2012
Bulgaria,Eski-Dzumaja,1881,3,,1062,988,2050
Bulgaria,Eski-Dzumaja,1881,4,,1169,1049,2218
Bulgaria,Eski-Dzumaja,1881,5,,1327,1131,2458
Bulgaria,Eski-Dzumaja,1881,6,,1329,1213,2542
Bulgaria,Eski-Dzumaja,1881,7,,981,928,1909
Bulgaria,Eski-Dzumaja,1881,8,,1537,1442,2979
Bulgaria,Eski-Dzumaja,1881,9,,769,657,1426
Bulgaria,Kjustendil,1881,0,,1825,1776,3601
Bulgaria,Kjustendil,1881,1,,2435,2296,4731
Bulgaria,Kjustendil,1881,2,,2069,2034,4103
Bulgaria,Kjustendil,1881,3,,2158,2081,4239
Bulgaria,Kjustendil,1881,4,,1791,1802,3593
Bulgaria,Kjustendil,1881,5,,1964,1907,3871
Bulgaria,Kjustendil,1881,6,,2176,2131,4307
Bulgaria,Kjustendil,1881,7,,2024,1891,3915
Bulgaria,Kjustendil,1881,8,,2239,2154,4393
Bulgaria,Kjustendil,1881,9,,1604,1432,3036
Bulgaria,Kjustendil,1900,0,,2917,2834,5751
Bulgaria,Kjustendil,1900,1,,2986,2847,5833
Bulgaria,Kjustendil,1900,2,,2696,2652,5348
Bulgaria,Kjustendil,1900,3,,3022,2935,5957
Bulgaria,Kjustendil,1900,4,,2748,2761,5509
Bulgaria,Kjustendil,1900,5,,2904,2722,5626
Bulgaria,Kjustendil,1900,6,,2915,2787,5702
Bulgaria,Kjustendil,1900,7,,2621,2537,5158
Bulgaria,Kjustendil,1900,8,,2547,2666,5213
Bulgaria,Kjustendil,1900,9,,1920,1895,3815
Bulgaria,Lom-Palanka,1881,0,,584,574,1158
Bulgaria,Lom-Palanka,1881,1,,506,541,1047
Bulgaria,Lom-Palanka,1881,2,,582,538,1120
Bulgaria,Lom-Palanka,1881,3,,547,495,1042
Bulgaria,Lom-Palanka,1881,4,,524,457,981
Bulgaria,Lom-Palanka,1881,5,,541,534,1075
Bulgaria,Lom-Palanka,1881,6,,585,533,1118
Bulgaria,Lom-Palanka,1881,7,,597,591,1188
Bulgaria,Lom-Palanka,1881,8,,615,642,1257
Bulgaria,Lom-Palanka,1881,9,,398,397,795
Bulgaria,Lovec,1881,0,,1474,1336,2810
Bulgaria,Lovec,1881,1,,1218,1140,2358
Bulgaria,Lovec,1881,2,,954,1036,1990
Bulgaria,Lovec,1881,3,,1085,1013,2098
Bulgaria,Lovec,1881,4,,1168,1095,2263
Bulgaria,Lovec,1881,5,,1363,1177,2540
Bulgaria,Lovec,1881,6,,1465,1414,2879
Bulgaria,Lovec,1881,7,,1288,1342,2630
Bulgaria,Lovec,1881,8,,1752,1548,3300
Bulgaria,Lovec,1881,9,,921,803,1724
Bulgaria,Orbanije,1881,0,,673,672,1345
Bulgaria,Orbanije,1881,1,,701,667,1368
Bulgaria,Orbanije,1881,2,,684,654,1338
Bulgaria,Orbanije,1881,3,,723,678,1401
Bulgaria,Orbanije,1881,4,,752,765,1517
Bulgaria,Orbanije,1881,5,,781,705,1486
Bulgaria,Orbanije,1881,6,,862,814,1676
Bulgaria,Orbanije,1881,7,,804,824,1628
Bulgaria,Orbanije,1881,8,,932,923,1855
Bulgaria,Orbanije,1881,9,,576,569,1145
Bulgaria,Pleven,1881,0,,1593,1420,3013
Bulgaria,Pleven,1881,1,,1471,1447,2918
Bulgaria,Pleven,1881,2,,1349,1299,2648
Bulgaria,Pleven,1881,3,,1155,1139,2294
Bulgaria,Pleven,1881,4,,1172,1155,2327
Bulgaria,Pleven,1881,5,,1390,1187,2577
Bulgaria,Pleven,1881,6,,1714,1505,3219
Bulgaria,Pleven,1881,7,,1577,1541,3118
Bulgaria,Pleven,1881,8,,1806,1767,3573
Bulgaria,Pleven,1881,9,,1131,1002,2133
Bulgaria,Pleven,1900,0,,4412,4313,8725
Bulgaria,Pleven,1900,1,,4552,4530,9082
Bulgaria,Pleven,1900,2,,4395,4289,8684
Bulgaria,Pleven,1900,3,,4853,4868,9721
Bulgaria,Pleven,1900,4,,4687,4829,9516
Bulgaria,Pleven,1900,5,,4667,4399,9066
Bulgaria,Pleven,1900,6,,4569,4431,9000
Bulgaria,Pleven,1900,7,,4308,4254,8562
Bulgaria,Pleven,1900,8,,4088,4232,8320
Bulgaria,Pleven,1900,9,,2867,2854,5721
Bulgaria,Plovdiv,1900,0,,5595,5354,10949
Bulgaria,Plovdiv,1900,1,,5673,5415,11088
Bulgaria,Plovdiv,1900,2,,5382,5474,10856
Bulgaria,Plovdiv,1900,3,,5784,5816,11600
Bulgaria,Plovdiv,1900,4,,5560,5567,11127
Bulgaria,Plovdiv,1900,5,,5415,5370,10785
Bulgaria,Plovdiv,1900,6,,5571,5533,11104
Bulgaria,Plovdiv,1900,7,,4965,5063,10028
Bulgaria,Plovdiv,1900,8,,4985,5393,10378
Bulgaria,Plovdiv,1900,9,,3908,3795,7703
Bulgaria,Provadija,1881,0,,,,
Bulgaria,Provadija,1881,1,,,,
Bulgaria,Provadija,1881,2,,,,
Bulgaria,Provadija,1881,3,,,,
Bulgaria,Provadija,1881,4,,,,
Bulgaria,Provadija,1881,5,,,,
Bulgaria,Provadija,1881,6,,,,
Bulgaria,Provadija,1881,7,,,,
Bulgaria,Provadija,1881,8,,,,
Bulgaria,Provadija,1881,9,,,,
Bulgaria,Rahovo,1881,0,,1049,1063,2112
Bulgaria,Rahovo,1881,1,,799,730,1529
Bulgaria,Rahovo,1881,2,,814,788,1602
Bulgaria,Rahovo,1881,3,,852,869,1721
Bulgaria,Rahovo,1881,4,,831,848,1679
Bulgaria,Rahovo,1881,5,,906,900,1806
Bulgaria,Rahovo,1881,6,,1062,1015,2077
Bulgaria,Rahovo,1881,7,,958,1005,1963
Bulgaria,Rahovo,1881,8,,1178,1102,2280
Bulgaria,Rahovo,1881,9,,702,613,1315
Bulgaria,Razgrad,1881,0,,1959,1810,3769
Bulgaria,Razgrad,1881,1,,2341,2322,4663
Bulgaria,Razgrad,1881,2,,1502,1509,3011
Bulgaria,Razgrad,1881,3,,1589,1490,3079
Bulgaria,Razgrad,1881,4,,1653,1523,3176
Bulgaria,Razgrad,1881,5,,1935,1735,3670
Bulgaria,Razgrad,1881,6,,2032,1896,3928
Bulgaria,Razgrad,1881,7,,1688,1547,3235
Bulgaria,Razgrad,1881,8,,2534,2362,4896
Bulgaria,Razgrad,1881,9,,1199,1058,2257
Bulgaria,Russe,1881,0,,1886,1744,3630
Bulgaria,Russe,1881,1,,2198,2059,4257
Bulgaria,Russe,1881,2,,1773,1863,3636
Bulgaria,Russe,1881,3,,1834,1784,3618
Bulgaria,Russe,1881,4,,1792,1758,3550
Bulgaria,Russe,1881,5,,2032,1833,3865
Bulgaria,Russe,1881,6,,2073,2048,4121
Bulgaria,Russe,1881,7,,1707,1563,3270
Bulgaria,Russe,1881,8,,2369,2339,4708
Bulgaria,Russe,1881,9,,1257,1103,2360
Bulgaria,Russe,1900,0,,4809,4435,9244
Bulgaria,Russe,1900,1,,5991,5667,11658
Bulgaria,Russe,1900,2,,5950,5779,11729
Bulgaria,Russe,1900,3,,5548,5514,11062
Bulgaria,Russe,1900,4,,5510,5327,10837
Bulgaria,Russe,1900,5,,5425,5267,10692
Bulgaria,Russe,1900,6,,5497,5214,10711
Bulgaria,Russe,1900,7,,4584,4674,9258
Bulgaria,Russe,1900,8,,5648,5642,11290
Bulgaria,Russe,1900,9,,3602,3299,6901
Bulgaria,Sevlijevo,1881,0,,1575,1487,3062
Bulgaria,Sevlijevo,1881,1,,1539,1369,2908
Bulgaria,Sevlijevo,1881,2,,1236,1219,2455
Bulgaria,Sevlijevo,1881,3,,1426,1245,2671
Bulgaria,Sevlijevo,1881,4,,1523,1429,2952
Bulgaria,Sevlijevo,1881,5,,1516,1372,2888
Bulgaria,Sevlijevo,1881,6,,1698,1622,3320
Bulgaria,Sevlijevo,1881,7,,1332,1327,2659
Bulgaria,Sevlijevo,1881,8,,1730,1709,3439
Bulgaria,Sevlijevo,1881,9,,916,878,1794
Bulgaria,Silistra,1881,0,,1355,1185,2540
Bulgaria,Silistra,1881,1,,2095,1942,4037
Bulgaria,Silistra,1881,2,,1504,1555,3059
Bulgaria,Silistra,1881,3,,1738,1576,3314
Bulgaria,Silistra,1881,4,,1638,1614,3252
Bulgaria,Silistra,1881,5,,1821,1660,3481
Bulgaria,Silistra,1881,6,,1701,1610,3311
Bulgaria,Silistra,1881,7,,1171,1129,2300
Bulgaria,Silistra,1881,8,,2057,1965,4022
Bulgaria,Silistra,1881,9,,910,776,1686
Bulgaria,Sofia,1881,0,,2455,2304,4759
Bulgaria,Sofia,1881,1,,2647,2515,5162
Bulgaria,Sofia,1881,2,,2360,2247,4607
Bulgaria,Sofia,1881,3,,2317,2254,4571
Bulgaria,Sofia,1881,4,,1988,1908,3896
Bulgaria,Sofia,1881,5,,2121,1985,4106
Bulgaria,Sofia,1881,6,,2261,2233,4494
Bulgaria,Sofia,1881,7,,2114,1863,3977
Bulgaria,Sofia,1881,8,,2423,2249,4672
Bulgaria,Sofia,1881,9,,1643,1493,3136
Bulgaria,Sofia,1900,0,,5637,5556,11193
Bulgaria,Sofia,1900,1,,5687,5438,11125
Bulgaria,Sofia,1900,2,,5213,5159,10372
Bulgaria,Sofia,1900,3,,5971,5741,11712
Bulgaria,Sofia,1900,4,,5439,5568,11007
Bulgaria,Sofia,1900,5,,5423,5381,10804
Bulgaria,Sofia,1900,6,,5440,5383,10823
Bulgaria,Sofia,1900,7,,4960,4928,9888
Bulgaria,Sofia,1900,8,,4955,4940,9895
Bulgaria,Sofia,1900,9,,3801,3639,7440
Bulgaria,Stara-Zagora,1900,0,,5239,4786,10025
Bulgaria,Stara-Zagora,1900,1,,5472,5326,10798
Bulgaria,Stara-Zagora,1900,2,,5506,5347,10853
Bulgaria,Stara-Zagora,1900,3,,5761,5807,11568
Bulgaria,Stara-Zagora,1900,4,,5819,5809,11628
Bulgaria,Stara-Zagora,1900,5,,5773,5618,11391
Bulgaria,Stara-Zagora,1900,6,,5745,5631,11376
Bulgaria,Stara-Zagora,1900,7,,5056,5216,10272
Bulgaria,Stara-Zagora,1900,8,,5237,5355,10592
Bulgaria,Stara-Zagora,1900,9,,3767,3721,7488
Bulgaria,Sumen,1881,0,,1792,1426,3218
Bulgaria,Sumen,1881,1,,2243,2003,4246
Bulgaria,Sumen,1881,2,,1586,1525,3111
Bulgaria,Sumen,1881,3,,1479,1401,2880
Bulgaria,Sumen,1881,4,,1553,1418,2971
Bulgaria,Sumen,1881,5,,1800,1567,3367
Bulgaria,Sumen,1881,6,,1850,1672,3522
Bulgaria,Sumen,1881,7,,1476,1400,2876
Bulgaria,Sumen,1881,8,,2009,1912,3921
Bulgaria,Sumen,1881,9,,1079,920,1999
Bulgaria,Svistov,1881,0,,789,653,1442
Bulgaria,Svistov,1881,1,,634,589,1223
Bulgaria,Svistov,1881,2,,587,557,1144
Bulgaria,Svistov,1881,3,,495,477,972
Bulgaria,Svistov,1881,4,,495,459,954
Bulgaria,Svistov,1881,5,,576,494,1070
Bulgaria,Svistov,1881,6,,664,602,1266
Bulgaria,Svistov,1881,7,,606,579,1185
Bulgaria,Svistov,1881,8,,723,703,1426
Bulgaria,Svistov,1881,9,,386,378,764
Bulgaria,Tirnovo,1881,0,,3684,3468,7152
Bulgaria,Tirnovo,1881,1,,3533,3529,7062
Bulgaria,Tirnovo,1881,2,,3024,3094,6118
Bulgaria,Tirnovo,1881,3,,2949,2772,5721
Bulgaria,Tirnovo,1881,4,,3070,3073,6143
Bulgaria,Tirnovo,1881,5,,3076,2911,5987
Bulgaria,Tirnovo,1881,6,,3711,3579,7290
Bulgaria,Tirnovo,1881,7,,3080,2953,6033
Bulgaria,Tirnovo,1881,8,,4010,3724,7734
Bulgaria,Tirnovo,1881,9,,2349,2060,4409
Bulgaria,Tirnovo,1900,0,,6136,5828,11964
Bulgaria,Tirnovo,1900,1,,6046,5792,11838
Bulgaria,Tirnovo,1900,2,,5807,5650,11457
